customer_city,total_orders,on_time_count,on_time_pct,avg_review_score,review_count,lat,lng
nova londrina,9,9,100.0,4.222222222222222,9,-22.763496600457717,-52.98829848487106
cajuru,9,8,88.89,3.5555555555555554,9,-21.27443256482517,-47.30547622191414
brasilia de minas,9,9,100.0,4.777777777777778,9,-16.21376607053118,-44.43326343663188
aracuai,9,8,88.89,3.7777777777777777,9,-16.86883131439028,-42.07904685695032
nova ponte,9,8,88.89,4.0,9,-19.3364369651837,-47.113221804399366
turmalina,9,9,100.0,3.888888888888889,9,-17.513414446317782,-43.33319963961035
itapoa,9,6,66.67,4.333333333333333,9,-26.07757864961094,-48.61126085062627
schroeder,9,9,100.0,4.333333333333333,9,-26.405445142724908,-49.074744844985375
serafina correa,9,7,77.78,4.222222222222222,9,-28.712863110161575,-51.934113843318485
tiangua,9,5,55.56,3.4444444444444446,9,-3.725444073722241,-40.99143329343264
estancia,9,8,88.89,4.25,8,-11.259418378041149,-37.43587186574041
piranguinho,9,8,88.89,3.2222222222222223,9,-22.39447928412845,-45.54133645163208
santa helena de goias,9,9,100.0,3.6666666666666665,9,-17.812848694797882,-50.5960695798566
planalto,9,9,100.0,4.222222222222222,9,-22.077665602228322,-49.20851365947998
piquete,9,9,100.0,5.0,9,-22.60890713530282,-45.1833131511937
pinheiros,9,9,100.0,4.111111111111111,9,-18.410899011847384,-40.219401752231356
igarape,9,9,100.0,3.7777777777777777,9,-20.06685646336746,-44.306135458415405
novo cruzeiro,9,9,100.0,4.444444444444445,9,-17.460076462397126,-41.88544113747723
pinhao,9,7,77.78,4.555555555555555,9,-24.660029894183165,-50.70303620178201
faxinal,9,8,88.89,4.444444444444445,9,-23.99871143453599,-51.323611356091064
arapoti,9,9,100.0,3.7777777777777777,9,-24.142597510300845,-49.82236722660047
icem,9,9,100.0,4.555555555555555,9,-20.34058353709781,-49.19823855518813
camanducaia,9,9,100.0,4.111111111111111,9,-22.756599739046813,-46.13889665947566
pesqueira,9,8,88.89,4.666666666666667,9,-8.36168493950807,-36.69857349963936
cambara,9,9,100.0,4.777777777777778,9,-23.041490931290042,-50.0755770168954
conceicao do coite,9,8,88.89,4.5,8,-11.572120889376585,-39.277837374690016
sao lourenco do oeste,9,9,100.0,4.333333333333333,9,-26.363700651279228,-52.850244028067195
braganca,9,9,100.0,4.0,9,-1.0594817318048644,-46.768546320047975
perdoes,9,9,100.0,4.444444444444445,9,-21.095925627130327,-45.088210397288286
santa branca,9,8,88.89,3.3333333333333335,9,-23.39928048418671,-45.88538560664444
charqueada,9,7,77.78,4.111111111111111,9,-22.511338452260038,-47.77588446279597
queimadas,9,9,100.0,3.0,9,-8.676701756651164,-37.254805521805494
morro agudo,9,9,100.0,4.222222222222222,9,-20.72828330325555,-48.05514852208202
itaguacu,9,7,77.78,3.888888888888889,9,-19.540001359644837,-41.907213359142936
sao miguel do iguacu,9,8,88.89,4.888888888888889,9,-25.354928628315577,-54.22938998817353
crateus,9,9,100.0,4.222222222222222,9,-5.1790578849017175,-40.66770395958784
sao joaquim,9,9,100.0,3.7777777777777777,9,-28.289032675164798,-49.934099601986375
carmo do rio claro,9,9,100.0,4.555555555555555,9,-20.971610978511645,-46.12132992617943
itaberaba,9,8,88.89,4.333333333333333,9,-12.526110203660092,-40.30795839512631
santa cruz das palmeiras,9,9,100.0,4.333333333333333,9,-21.82656001816575,-47.24871819241543
sao marcos,9,9,100.0,3.888888888888889,9,-28.969458615633506,-51.06861438489832
primavera,9,8,88.89,4.25,8,-19.43090955258497,-48.0280279315294
bom jesus da lapa,9,9,100.0,4.555555555555555,9,-13.256014019878709,-43.409875811549746
monte santo de minas,9,8,88.89,4.444444444444445,9,-21.048526156050805,-46.846731600001775
muzambinho,9,8,88.89,4.111111111111111,9,-21.368981491695624,-46.523156559190284
mar de espanha,9,9,100.0,3.888888888888889,9,-21.86580880333746,-43.00740468490523
nepomuceno,9,9,100.0,4.555555555555555,9,-21.236352172815856,-45.23626913181331
aguai,9,8,88.89,4.0,9,-22.057066284995376,-46.97618165238234
porto belo,9,9,100.0,4.555555555555555,9,-27.15728166876613,-48.57004704358004
russas,9,8,88.89,4.222222222222222,9,-4.938637830671736,-37.97382628884966
porecatu,9,9,100.0,4.777777777777778,9,-22.752396036051785,-51.379434799393636
pontes e lacerda,9,9,100.0,4.555555555555555,9,-15.235746482425006,-59.333280230440195
domingos martins,9,8,88.89,4.0,9,-20.355080039700873,-40.71102044701325
pomerode,9,9,100.0,4.777777777777778,9,-26.732885867295668,-49.170139485950855
dourado,9,8,88.89,4.333333333333333,9,-22.111603906846536,-48.314428984681655
juquia,9,9,100.0,4.0,9,-24.316563039568646,-47.634872143354364
coroata,9,8,88.89,5.0,9,-4.129394110410872,-44.12630249098347
barra de sao francisco,9,8,88.89,4.0,9,-18.750639170399417,-40.88724600352659
itaqui,9,8,88.89,4.333333333333333,9,-29.132686047022418,-56.55202563098084
rolante,9,8,88.89,4.333333333333333,9,-29.64963363646582,-50.572926219838166
guaranesia,9,9,100.0,4.222222222222222,9,-21.301534834449267,-46.79326103667011
herval d'oeste,9,9,100.0,4.444444444444445,9,-27.17383115730277,-51.49289467212774
garibaldi,9,9,100.0,4.555555555555555,9,-29.253901645512006,-51.52820815176132
paraopeba,9,8,88.89,3.7777777777777777,9,-19.27857905090132,-44.40088546208934
alto paraiso de goias,9,8,88.89,3.888888888888889,9,-14.139492062754918,-47.51685167996019
pau dos ferros,9,7,77.78,4.222222222222222,9,-6.11306189477227,-38.20667004551809
guaratuba,9,9,100.0,4.111111111111111,9,-25.887866961664873,-48.58448614693002
campina grande do sul,9,9,100.0,4.0,9,-25.342398065900387,-49.086042958361304
arroio do meio,9,9,100.0,4.555555555555555,9,-29.394875869959982,-51.945171165133004
rio paranaiba,9,9,100.0,4.0,9,-19.20769539270437,-46.32176530505162
arroio dos ratos,9,9,100.0,4.666666666666667,9,-30.089920662146096,-51.73152450330508
taruma,9,9,100.0,4.222222222222222,9,-22.74889054354078,-50.57897146765394
lindoia,9,9,100.0,4.777777777777778,9,-22.52366846362423,-46.6462832931292
colorado,9,9,100.0,4.333333333333333,9,-23.93386711978066,-52.170017002395056
colina,9,9,100.0,4.888888888888889,9,-20.71615282762481,-48.53525462335842
ibatiba,9,8,88.89,3.5555555555555554,9,-20.233854705661063,-41.506817883423714
cicero dantas,9,7,77.78,3.75,8,-10.593016677890782,-38.38518647881569
penedo,9,8,88.89,4.222222222222222,9,-10.792819141146794,-36.89985395929932
xinguara,9,7,77.78,3.6666666666666665,9,-7.0870930775595875,-49.92503542352296
canaa dos carajas,9,7,77.78,3.6666666666666665,9,-6.523399053843961,-49.876145609317966
passa quatro,9,9,100.0,3.5555555555555554,9,-22.387188678365757,-44.96728626925755
cedral,9,8,88.89,4.111111111111111,9,-19.958871170793888,-49.031939600998136
guara,9,9,100.0,4.0,9,-19.176430950320455,-47.86638869563524
mimoso do sul,9,8,88.89,4.444444444444445,9,-21.061570668726116,-41.36296449402211
brodowski,9,9,100.0,3.5555555555555554,9,-20.988926911431513,-47.654618703557226
sobradinho,9,7,77.78,4.222222222222222,9,-18.835118608165825,-47.17185151753579
